case_name_en,case_name_zh,release_date,url
Chroma 2 Case,,,https://counterstrike.fandom.com/wiki/Chroma_2_Case
Chroma 3 Case,,,https://counterstrike.fandom.com/wiki/Chroma_3_Case
Chroma Case,,,https://counterstrike.fandom.com/wiki/Chroma_Case
Clutch Case,,,https://counterstrike.fandom.com/wiki/Clutch_Case
CS20 Case,,,https://counterstrike.fandom.com/wiki/CS20_Case
CSGO Weapon Case,,,https://counterstrike.fandom.com/wiki/CSGO_Weapon_Case
CSGO Weapon Case 2,,,https://counterstrike.fandom.com/wiki/CSGO_Weapon_Case_2
CSGO Weapon Case 3,,,https://counterstrike.fandom.com/wiki/CSGO_Weapon_Case_3
Danger Zone Case,,,https://counterstrike.fandom.com/wiki/Danger_Zone_Case
Dreams & Nightmares Case,,,https://counterstrike.fandom.com/wiki/Dreams_&_Nightmares_Case
ESports 2013 Case,,,https://counterstrike.fandom.com/wiki/ESports_2013_Case
ESports 2013 Winter Case,,,https://counterstrike.fandom.com/wiki/ESports_2013_Winter_Case
ESports 2014 Summer Case,,,https://counterstrike.fandom.com/wiki/ESports_2014_Summer_Case
Falchion Case,,,https://counterstrike.fandom.com/wiki/Falchion_Case
Fracture Case,,,https://counterstrike.fandom.com/wiki/Fracture_Case
Gamma 2 Case,,,https://counterstrike.fandom.com/wiki/Gamma_2_Case
Gamma Case,,,https://counterstrike.fandom.com/wiki/Gamma_Case
Glove Case,,,https://counterstrike.fandom.com/wiki/Glove_Case
Horizon Case,,,https://counterstrike.fandom.com/wiki/Horizon_Case
Huntsman Weapon Case,,,https://counterstrike.fandom.com/wiki/Huntsman_Weapon_Case
Operation Bravo Case,,,https://counterstrike.fandom.com/wiki/Operation_Bravo_Case
Operation Breakout Weapon Case,,,https://counterstrike.fandom.com/wiki/Operation_Breakout_Weapon_Case
Operation Broken Fang Case,,,https://counterstrike.fandom.com/wiki/Operation_Broken_Fang_Case
Operation Hydra Case,,,https://counterstrike.fandom.com/wiki/Operation_Hydra_Case
Operation Phoenix Weapon Case,,,https://counterstrike.fandom.com/wiki/Operation_Phoenix_Weapon_Case
Operation Riptide Case,,,https://counterstrike.fandom.com/wiki/Operation_Riptide_Case
Operation Vanguard Weapon Case,,,https://counterstrike.fandom.com/wiki/Operation_Vanguard_Weapon_Case
Operation Wildfire Case,,,https://counterstrike.fandom.com/wiki/Operation_Wildfire_Case
Prisma 2 Case,,,https://counterstrike.fandom.com/wiki/Prisma_2_Case
Prisma Case,,,https://counterstrike.fandom.com/wiki/Prisma_Case
Recoil Case,,,https://counterstrike.fandom.com/wiki/Recoil_Case
Revolution Case,,,https://counterstrike.fandom.com/wiki/Revolution_Case
Revolver Case,,,https://counterstrike.fandom.com/wiki/Revolver_Case
Shadow Case,,,https://counterstrike.fandom.com/wiki/Shadow_Case
Shattered Web Case,,,https://counterstrike.fandom.com/wiki/Shattered_Web_Case
Snakebite Case,,,https://counterstrike.fandom.com/wiki/Snakebite_Case
Spectrum 2 Case,,,https://counterstrike.fandom.com/wiki/Spectrum_2_Case
Spectrum Case,,,https://counterstrike.fandom.com/wiki/Spectrum_Case
Winter Offensive Weapon Case,,,https://counterstrike.fandom.com/wiki/Winter_Offensive_Weapon_Case
